title,	published,	url,	instructor,	yt_url,	yt_title
Functional Programming Concepts in Purescript, 2018-03-15T14:33:18.967-05:00, https://egghead.io/series/functional-programming-concepts-in-purescript, Vincent Orr,https://www.youtube.com/watch?v=QvUBZdQ-QPU, Functional Programming Concepts in Purescript
Safer JavaScript with the Maybe Type, 2018-05-07T11:04:31.667-05:00, https://egghead.io/series/safer-javascript-with-the-maybe-type, Andy Van Slaars,https://www.youtube.com/watch?v=ORty0Qu8nVY, Safer JavaScript with the Maybe Type
Offline-First Progressive Web Apps (PWA) in Vue.js, 2018-05-12T10:54:44.657-05:00, https://egghead.io/series/offline-first-progressive-web-apps-pwa-in-vue-js, Alex Jover Morales,https://www.youtube.com/watch?v=7QBUwqXO9dA, Offline First Progressive Web Apps PWA in Vue.js
Build a Server-rendered ReactJS Application with Next.js, 2018-02-16T11:21:55.980-06:00, https://egghead.io/series/build-a-server-rendered-reactjs-application-with-next-js, Thomas Greco,https://www.youtube.com/watch?v=nhNFZ91vzkk, Build a Server rendered ReactJS Application with Next js
End to End testing with Cypress, 2018-05-10T09:31:45.939-05:00, https://egghead.io/series/end-to-end-testing-with-cypress, Andy Van Slaars,https://www.youtube.com/watch?v=ZBCEHq1UOoM, End to End Testing with Cypress
End to End Testing with Google's Puppeteer and Jest, 2018-04-10T12:53:31.973-05:00, https://egghead.io/series/end-to-end-testing-with-google-s-puppeteer-and-jest, Tyler Clark,https://www.youtube.com/watch?v=crKJ2hGcQ3Q, End to End Testing with Google's Puppeteer and Jest
Build React Components from Streams with RxJS and Recompose, 2017-12-19T10:25:25.839-06:00, https://egghead.io/series/build-react-components-from-streams-with-rxjs-and-recompose, John Lindquist,https://www.youtube.com/watch?v=z8-8kb4QLk4, Build React Components from Streams with RxJS and Recompose
Test React Components with Enzyme and Jest, 2018-05-09T11:49:41.549-05:00, https://egghead.io/series/test-react-components-with-enzyme-and-jest, Tyler Clark,https://www.youtube.com/watch?v=e5jG_bAXgVk, Learn to Test React Components with Enzyme and Jest
Build Async Vue.js Apps with RxJS, 2018-05-13T11:53:13.998-05:00, https://egghead.io/series/build-async-vue-js-apps-with-rxjs, John Lindquist,https://www.youtube.com/watch?v=FjLxRQm9f18, Build Async Vue jsApps with RxJS
Develop a Serverless Backend using Node.js on AWS Lambda, 2018-08-21T22:25:24.212-05:00, https://egghead.io/series/develop-a-serverless-backend-using-node-js-on-aws-lambda, Nik Graf,https://www.youtube.com/watch?v=e7CzSgEq4bc, Develop a Serverless Backend using Node js on AWS Lambda
Async React with Redux Saga, 2017-12-19T10:25:34.785-06:00, https://egghead.io/series/async-react-with-redux-saga, Tyler Clark,https://www.youtube.com/watch?v=aCH2uKQ1fkc, Async React with Redux Saga
State Monad in JavaScript, 2017-12-15T00:19:16.382-06:00, https://egghead.io/series/state-monad-in-javascript, Ian Hofmann-Hicks,https://www.youtube.com/watch?v=dYyaWwSf-4c, State Monad in JavaScript
How to Use npm Scripts as Your Build Tool, 2017-02-02T12:16:23.825-06:00, https://egghead.io/series/how-to-use-npm-scripts-as-your-build-tool, Elijah Manor,https://www.youtube.com/watch?v=BRq1sd_ta7g, How to Use npm Scripts as Your Build Tool - egghead
Advanced Fine-Grained Control of Vue.js Components, 2017-12-14T12:39:51.642-06:00, https://egghead.io/series/advanced-fine-grained-control-of-vue-js-components, John Lindquist,https://www.youtube.com/watch?v=t2Ncoi5_tXE, Advanced Fine Grained Control of Vue js Components
Understand Joins and Unions in Postgres, 2017-07-18T11:09:53.981-05:00, https://egghead.io/series/understand-joins-and-unions-in-postgres, Brett Cassette,https://www.youtube.com/watch?v=8eh5G3iF3oI, Understand Joins and Unions in Postgres - egghead
Use TypeScript to develop React Applications, 2017-12-12T10:08:15.291-06:00, https://egghead.io/series/use-typescript-to-develop-react-applications, Basarat Ali Syed,https://www.youtube.com/watch?v=e2L7ONohBWw, Use TypeScript to develop React Applications
Manage Application State with Mobx-state-tree, 2017-12-19T10:25:30.040-06:00, https://egghead.io/series/manage-application-state-with-mobx-state-tree, Michel Weststrate,https://www.youtube.com/watch?v=uBKXD5GMydw, Manage Application State with Mobx state tree
Get Started With PostgreSQL, 2017-02-09T17:05:43.681-06:00, https://egghead.io/series/get-started-with-postgresql, Brett Cassette,https://www.youtube.com/watch?v=v_Uquy2fTBY, Get Started With PostgreSQL - egghead
Build a Server Rendered + Code Split App in React with React Universal Component, 2017-12-13T10:14:22.944-06:00, https://egghead.io/series/build-a-server-rendered-code-split-app-in-react-with-react-universal-component, Tim Kindberg,https://www.youtube.com/watch?v=bWmlaYgbRWo, Build a Server Rendered + Code Split App in React with React Universal Component - egghead
Make Webpack Easy with Poi, 2017-12-11T10:59:57.367-06:00, https://egghead.io/series/make-webpack-easy-with-poi, John Lindquist,https://www.youtube.com/watch?v=wq_l-MHESc4, Make Webpack Easy with Poi
Advanced React Component Patterns, 2017-12-03T22:11:24.022-06:00, https://egghead.io/series/advanced-react-component-patterns, Kent C. Dodds,https://www.youtube.com/watch?v=J1O9XsFXVas, Advanced React Component Patterns
Understand JavaScript's this Keyword in Depth, 2017-12-04T23:27:31.976-06:00, https://egghead.io/series/understand-javascript-s-this-keyword-in-depth, Marius Schulz,https://www.youtube.com/watch?v=l11EEChy8Ig, Understand JavaScript's this Keyword in Depth
Introduction to the Python 3 Programming Language, 2017-12-08T09:37:02.932-06:00, https://egghead.io/series/introduction-to-the-python-3-programming-language, Will Button,https://www.youtube.com/watch?v=O-hzzUX0hZM, Introduction to the Python 3 Programming Language - egghead
The Beginner's Guide to React, 2017-12-03T21:56:34.146-06:00, https://egghead.io/series/the-beginner-s-guide-to-react, Kent C. Dodds,https://www.youtube.com/watch?v=9mnRkMZl4WU, The Beginner's Guide to ReactJS
